Make,Model,Cylinder,Transmission,CityMPG,HighwayMPG,CombinedMPG,Air Aspir Method,Air Aspiration Method Desc,Transmission,Trans Desc,Drive,Drive Desc,Fuel,Fuel Usage Desc - Conventional Fuel,Cost,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Carline Class,Carline Class Desc,Release Date,CityCO2,HighwayCO2,CombinedCO2
Acura,ILX,4,Auto(S5),24,35,28,NA,Naturally Aspirated,SA,Semi-Automatic,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2050,2050,4,Compact Cars,6/20/2014,367,255,316
Acura,ILX,4,Manual(M6),22,31,25,NA,Naturally Aspirated,M,Manual,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2300,2300,4,Compact Cars,6/20/2014,403,284,350
Acura,TLX,4,Auto(S8),24,35,28,NA,Naturally Aspirated,SA,Semi-Automatic,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2050,2050,4,Compact Cars,7/25/2014,372,250,316
Acura,RLX,6,Auto(S6),20,31,24,NA,Naturally Aspirated,SA,Semi-Automatic,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2400,2400,5,Midsize Cars,6/3/2014,451,290,378
Acura,MDX 2WD,6,Auto(S6),20,28,23,NA,Naturally Aspirated,SA,Semi-Automatic,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2500,2500,30,Small SUV 2WD,6/3/2014,448,313,387
Acura,RDX 2WD,6,Auto(S6),20,28,23,NA,Naturally Aspirated,SA,Semi-Automatic,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2500,2500,30,Small SUV 2WD,4/1/2014,443,315,385
Acura,MDX 4WD,6,Auto(S6),18,27,21,NA,Naturally Aspirated,SA,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2700,2700,31,Small SUV 4WD,6/3/2014,485,331,416
Acura,RDX 4WD,6,Auto(S6),19,27,22,NA,Naturally Aspirated,SA,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2600,2600,31,Small SUV 4WD,4/1/2014,456,329,399
Aston Martin,V12 Vantage S,12,Auto(AM7),12,18,14,NA,Naturally Aspirated,AM,Automated Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),4050,4050,1,Two Seaters,1/20/2014,742,488,628
Aston Martin,V8 Vantage,8,Auto(AM7),14,21,16,NA,Naturally Aspirated,AM,Automated Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,3550,1,Two Seaters,5/19/2014,655,426,552
Aston Martin,V8 Vantage,8,Manual(M6),13,19,15,NA,Naturally Aspirated,M,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3800,3800,1,Two Seaters,5/19/2014,681,461,582
Aston Martin,V8 Vantage S,8,Auto(AM7),14,21,16,NA,Naturally Aspirated,AM,Automated Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,3550,1,Two Seaters,5/19/2014,655,426,552
Aston Martin,V8 Vantage S,8,Manual(M6),13,19,15,NA,Naturally Aspirated,M,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3800,3800,1,Two Seaters,5/19/2014,681,461,582
Aston Martin,Vantage GT,8,Auto(AM7),14,21,16,NA,Naturally Aspirated,AM,Automated Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,3550,1,Two Seaters,5/19/2014,655,426,552
Aston Martin,Vantage GT,8,Manual(M6),13,19,15,NA,Naturally Aspirated,M,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3800,3800,1,Two Seaters,5/19/2014,681,461,582
Aston Martin,DB9,12,Auto(S6),13,19,15,NA,Naturally Aspirated,SA,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3800,3800,2,Minicompact Cars,6/3/2014,679,475,587
